主字段,章节,等级,知识解析,拓展解析
"<div style=""text-align: center; font-size: 24px;""><b>回阳救急汤</b></div>",方剂学::各方剂合集::温里剂::回阳救逆剂,2,"方歌::[[回阳救急麝六君]],[[桂附两姜五味寻]]。<br>[[回阳固脱益气脉]],[[三阴寒厥建奇勋]]<br>###组成::[[熟附子、干姜、人参、白术、茯苓、炙甘草、陈皮、半夏、肉桂、五味子、麝香、生姜]]<br>###主治::[[寒邪直中三阴，真阳衰微]]证。恶寒蜷卧，四肢厥冷，吐泻腹痛，口淡不渴，神疲欲寐，或身寒战栗，或唇甲青紫，或口吐涎沫，舌淡苔白，脉沉微甚或无脉<br>###功用::[[回阳固脱，益气生脉]]","方歌::[[回阳救急麝六君]],[[桂附两姜五味寻]]。<br>[[回阳固脱益气脉]],[[三阴寒厥建奇勋]]<br>###组成::[[熟附子、干姜、人参、白术、茯苓、炙甘草、陈皮、半夏、肉桂、五味子、麝香、生姜]]<br>###主治::[[寒邪直中三阴，真阳衰微]]证。恶寒蜷卧，四肢厥冷，吐泻腹痛，口淡不渴，神疲欲寐，或身寒战栗，或唇甲青紫，或口吐涎沫，舌淡苔白，脉沉微甚或无脉<br>###功用::[[回阳固脱，益气生脉]]"
"<div style=""text-align: center; font-size: 24px;""><b>当归四逆汤</b></div>",方剂学::各方剂合集::温里剂::温经散寒剂,2,"方歌::[[当归四逆桂芍枣]],[[细辛甘草与通草]]。<br>[[血虚寒厥手足冷]],[[温经散寒血脉好]]<br>###组成::[[当归、芍药、桂枝、细辛、大枣、炙甘草、通草]]<br>###主治::[[【*血虚寒厥::血虚寒凝经脉证*】]]证。手足厥寒，口不渴，舌淡苔白，脉细欲绝或沉细者；或寒入经络，腰、股、腿、足、肩臂疼痛<br>###功用::[[温经散寒，养血通脉]]","方歌::[[当归四逆桂芍枣]],[[细辛甘草与通草]]。<br>[[血虚寒厥手足冷]],[[温经散寒血脉好]]<br>###组成::[[当归、芍药、桂枝、细辛、大枣、炙甘草、通草]]<br>###主治::[[【*血虚寒厥::血虚寒凝经脉证*】]]证。手足厥寒，口不渴，舌淡苔白，脉细欲绝或沉细者；或寒入经络，腰、股、腿、足、肩臂疼痛<br>###功用::[[温经散寒，养血通脉]]"
"<div style=""text-align: center; font-size: 24px;""><b>阳和汤</b></div>",方剂学::各方剂合集::温里剂::温经散寒剂,2,"方歌::[[阳和汤法解寒凝]],[[贴骨流注鹤膝风]]。<br>[[熟地鹿胶姜炭桂]],[[麻黄白芥甘草从]]<br>###组成::[[熟地黄、鹿角胶、肉桂、炮姜炭、麻黄、白芥子、生甘草]]<br>###主治::[[阴疽]]。如贴骨疽、脱疽、流注、痰核、鹤膝风等，患处漫肿无头，皮色不变，酸痛无热，口中不渴，舌淡苔白，脉沉细或迟细<br>###功用::[[温阳补血，散寒通滞]]","方歌::[[阳和汤法解寒凝]],[[贴骨流注鹤膝风]]。<br>[[熟地鹿胶姜炭桂]],[[麻黄白芥甘草从]]<br>###组成::[[熟地黄、鹿角胶、肉桂、炮姜炭、麻黄、白芥子、生甘草]]<br>###主治::[[阴疽]]。如贴骨疽、脱疽、流注、痰核、鹤膝风等，患处漫肿无头，皮色不变，酸痛无热，口中不渴，舌淡苔白，脉沉细或迟细<br>###功用::[[温阳补血，散寒通滞]]"
"<div style=""text-align: center; font-size: 24px;""><b>黄芪桂枝五物汤</b></div>",方剂学::各方剂合集::温里剂::温经散寒剂,2,"方歌::[[黄芪桂枝五物汤]],[[芍药大枣与生姜]]。<br>[[益气温经营通痹]],[[营卫虚弱血痹良]]<br>###组成::[[「黄芪」、桂枝、芍药、生姜、大枣]]<br>###主治::[[【*血痹::营卫气血虚+风寒*】]]。肌肤麻木不仁，或肢节疼痛，或汗出恶风，舌淡苔白，脉微涩而紧<br>###功用::[[益气温经，和营通痹(和血通痹)]]","方歌::[[黄芪桂枝五物汤]],[[芍药大枣与生姜]]。<br>[[益气温经营通痹]],[[营卫虚弱血痹良]]<br>###组成::[[「黄芪」、桂枝、芍药、生姜、大枣]]<br>###主治::[[【*血痹::营卫气血虚+风寒*】]]。肌肤麻木不仁，或肢节疼痛，或汗出恶风，舌淡苔白，脉微涩而紧<br>###功用::[[益气温经，和营通痹(和血通痹)]]"
"<div style=""text-align: center; font-size: 24px;""><b>大柴胡汤</b></div>",方剂学::各方剂合集::表里双解剂::解表攻里剂,2,"方歌::[[大柴胡汤用大黄]],[[枳芩夏芍枣生姜]]。<br>[[少阳阳明同合病]],[[和解少阳热结镶]]<br>###组成::[[柴胡、黄芩、芍药、半夏、枳实、大黄、大枣、生姜]]<br>###主治::[[少阳阳明合病]]。往来寒热，胸胁苦满，呕不止，郁郁微烦，心下满痛或心下痞硬，大便不解或协热下利，舌苔黄，脉弦数有力<br>###功用::[[和解少阳，内泻热结]]","方歌::[[大柴胡汤用大黄]],[[枳芩夏芍枣生姜]]。<br>[[少阳阳明同合病]],[[和解少阳热结镶]]<br>###组成::[[柴胡、黄芩、芍药、半夏、枳实、大黄、大枣、生姜]]<br>###主治::[[少阳阳明合病]]。往来寒热，胸胁苦满，呕不止，郁郁微烦，心下满痛或心下痞硬，大便不解或协热下利，舌苔黄，脉弦数有力<br>###功用::[[和解少阳，内泻热结]]"
"<div style=""text-align: center; font-size: 24px;""><b>防风通圣散</b></div>",方剂学::各方剂合集::表里双解剂::解表攻里剂,2,"方歌::[[防风通圣大黄硝]],[[荆芥麻黄栀芍翘]]。<br>[[甘桔芎归膏滑石]],[[薄荷芩术力偏饶]]。<br>[[疏风解表热便泻]],[[表里俱实风热消]]<br>###组成::[[麻黄、防风、薄荷叶、连翘、大黄、芒硝、川芎、当归、芍药、桔梗、黄芩、石膏、滑石、甘草、荆芥、白术、栀子、生姜]]<br>###主治::[[风热壅盛，表里俱实]]证。憎寒壮热，头目昏眩，目赤睛痛，口苦而干，咽喉不利，胸膈痞闷，咳呕喘满，涕唾黏稠，大便秘结，小便赤涩，舌苔黄腻，脉数有力。并治疮疡肿毒，肠风痔漏，鼻赤，丹斑瘾疹等<br>###功用::[[疏风解表，泻热通便]]","方歌::[[防风通圣大黄硝]],[[荆芥麻黄栀芍翘]]。<br>[[甘桔芎归膏滑石]],[[薄荷芩术力偏饶]]。<br>[[疏风解表热便泻]],[[表里俱实风热消]]<br>###组成::[[麻黄、防风、薄荷叶、连翘、大黄、芒硝、川芎、当归、芍药、桔梗、黄芩、石膏、滑石、甘草、荆芥、白术、栀子、生姜]]<br>###主治::[[风热壅盛，表里俱实]]证。憎寒壮热，头目昏眩，目赤睛痛，口苦而干，咽喉不利，胸膈痞闷，咳呕喘满，涕唾黏稠，大便秘结，小便赤涩，舌苔黄腻，脉数有力。并治疮疡肿毒，肠风痔漏，鼻赤，丹斑瘾疹等<br>###功用::[[疏风解表，泻热通便]]"
"<div style=""text-align: center; font-size: 24px;""><b>疏凿饮子</b></div>",方剂学::各方剂合集::表里双解剂::解表攻里剂,2,"方歌::[[疏凿槟榔及商陆]],[[苓皮大腹同椒目]]。<br>[[赤豆艽羌泻木通]],[[煎加生姜阳水服]]<br>###组成::[[泽泻、赤小豆、「炒商陆」、羌活去芦、大腹皮、椒目、木通、秦艽去芦、槟榔、茯苓皮、生姜]]<br>###主治::[[阳水]]。遍身水肿，喘呼气急，烦躁口渴，二便不利，脉沉实<br>###功用::[[泻下逐水，疏风消肿]]","方歌::[[疏凿槟榔及商陆]],[[苓皮大腹同椒目]]。<br>[[赤豆艽羌泻木通]],[[煎加生姜阳水服]]<br>###组成::[[泽泻、赤小豆、「炒商陆」、羌活去芦、大腹皮、椒目、木通、秦艽去芦、槟榔、茯苓皮、生姜]]<br>###主治::[[阳水]]。遍身水肿，喘呼气急，烦躁口渴，二便不利，脉沉实<br>###功用::[[泻下逐水，疏风消肿]]"
"<div style=""text-align: center; font-size: 24px;""><b>葛根黄芩黄连汤</b></div>",方剂学::各方剂合集::表里双解剂::解表清里剂,2,"方歌::[[葛根黄芩黄连汤]],[[再加甘草共煎尝]]。<br>[[邪陷阳明成热痢]],[[清里解表保安康]]<br>###组成::[[葛根、黄芩、黄连、炙甘草]]<br>###主治::[[表证未解，邪热入里]]证。身热，下利臭秽，胸脘烦热，口干渴，喘而汗出，舌红苔黄，脉数或促<br>###功用::[[解表清里(清泄里热，解肌散邪)]]","方歌::[[葛根黄芩黄连汤]],[[再加甘草共煎尝]]。<br>[[邪陷阳明成热痢]],[[清里解表保安康]]<br>###组成::[[葛根、黄芩、黄连、炙甘草]]<br>###主治::[[表证未解，邪热入里]]证。身热，下利臭秽，胸脘烦热，口干渴，喘而汗出，舌红苔黄，脉数或促<br>###功用::[[解表清里(清泄里热，解肌散邪)]]"
"<div style=""text-align: center; font-size: 24px;""><b>石膏汤</b></div>",方剂学::各方剂合集::表里双解剂::解表清里剂,2,"方歌::[[石膏汤用芩柏连]],[[麻黄豆鼓山栀全]]。<br>[[清热解毒兼发汗]],[[表里三焦热盛宣]]<br>###组成::[[麻黄、「石膏」、黄芩、黄连、黄柏、栀子、香豉]]<br>###主治::[[伤寒表证未解，里热已炽]]证。壮热无汗，身体沉重拘急，鼻干口渴，烦躁不眠，神昏谵语，或发斑，脉滑数<br>###功用::[[清热解毒，发汗解表]]","方歌::[[石膏汤用芩柏连]],[[麻黄豆鼓山栀全]]。<br>[[清热解毒兼发汗]],[[表里三焦热盛宣]]<br>###组成::[[麻黄、「石膏」、黄芩、黄连、黄柏、栀子、香豉]]<br>###主治::[[伤寒表证未解，里热已炽]]证。壮热无汗，身体沉重拘急，鼻干口渴，烦躁不眠，神昏谵语，或发斑，脉滑数<br>###功用::[[清热解毒，发汗解表]]"
"<div style=""text-align: center; font-size: 24px;""><b>五积散</b></div>",方剂学::各方剂合集::表里双解剂::解表温里剂,2,"方歌::[[五积散治五般积]],[[麻黄苍茫芍归芎]]。<br>[[枳桔桂苓甘草朴]],[[陈皮半夏两姜葱]]。<br>[[表里气痰血积活]],[[寒湿气血痰积从]]<br>###组成::[[苍术、陈皮、甘草、茯苓、半夏、「白芷」、桔梗、枳壳、厚朴、芍药、川芎、当归、肉桂、干姜、「麻黄」、生姜]]<br>###主治::[[外感风寒，内伤生冷之五积]]证。身热无汗，头痛身疼，项背拘急，胸满恶食，呕吐腹痛，以及妇女血气不调，寒凝气滞所致心腹疼痛，月经不调等<br>###功用::[[发表温里，顺气化痰，活血消积]]","方歌::[[五积散治五般积]],[[麻黄苍茫芍归芎]]。<br>[[枳桔桂苓甘草朴]],[[陈皮半夏两姜葱]]。<br>[[表里气痰血积活]],[[寒湿气血痰积从]]<br>###组成::[[苍术、陈皮、甘草、茯苓、半夏、「白芷」、桔梗、枳壳、厚朴、芍药、川芎、当归、肉桂、干姜、「麻黄」、生姜]]<br>###主治::[[外感风寒，内伤生冷之五积]]证。身热无汗，头痛身疼，项背拘急，胸满恶食，呕吐腹痛，以及妇女血气不调，寒凝气滞所致心腹疼痛，月经不调等<br>###功用::[[发表温里，顺气化痰，活血消积]]"
"<div style=""text-align: center; font-size: 24px;""><b>四君子汤</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[四君子汤中和义]],[[参术茯苓甘草比]]。<br>[[益以夏陈名六君]],[[祛痰补益气虚饵]]。<br>[[除却半夏名异功]],[[或加香砂气滞使]]<br>###组成::[[人参、白术、茯苓、炙甘草]]<br>###主治::[[脾胃气虚]]证。面色萎白，语声低微，四肢乏力，食少便溏，舌淡苔白，脉虚弱<br>###功用::[[益气健脾]]","方歌::[[四君子汤中和义]],[[参术茯苓甘草比]]。<br>[[益以夏陈名六君]],[[祛痰补益气虚饵]]。<br>[[除却半夏名异功]],[[或加香砂气滞使]]<br>###组成::[[人参、白术、茯苓、炙甘草]]<br>###主治::[[脾胃气虚]]证。面色萎白，语声低微，四肢乏力，食少便溏，舌淡苔白，脉虚弱<br>###功用::[[益气健脾]]"
"<div style=""text-align: center; font-size: 24px;""><b>参苓白术散</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[参苓白术扁豆陈]],[[山药甘莲砂苡仁]]。<br>[[桔梗上浮兼保肺]],[[枣汤调服益脾神]]。<br>[[益气健脾祛湿气]],[[脾虚夹湿是方能]]<br>###组成::[[人参、白术、白茯苓、炒甘草、莲子肉、山药、薏苡仁、缩砂仁、白扁豆、桔梗、大枣]]<br>###主治::[[脾虚湿盛证]]。饮食不化，胸脘痞闷，肠鸣泄泻，气短四肢乏力，纳差食少，形体消瘦，(或吐或泻)，面色萎黄，舌淡苔白腻，脉虚缓。亦可用治肺脾气虚，痰湿咳嗽，痰多色白<br>###功用::[[益气健脾，渗湿止泻(益气健脾，祛湿理气)]]","方歌::[[参苓白术扁豆陈]],[[山药甘莲砂苡仁]]。<br>[[桔梗上浮兼保肺]],[[枣汤调服益脾神]]。<br>[[益气健脾祛湿气]],[[脾虚夹湿是方能]]<br>###组成::[[人参、白术、白茯苓、炒甘草、莲子肉、山药、薏苡仁、缩砂仁、白扁豆、桔梗、大枣]]<br>###主治::[[脾虚湿盛证]]。饮食不化，胸脘痞闷，肠鸣泄泻，气短四肢乏力，纳差食少，形体消瘦，(或吐或泻)，面色萎黄，舌淡苔白腻，脉虚缓。亦可用治肺脾气虚，痰湿咳嗽，痰多色白<br>###功用::[[益气健脾，渗湿止泻(益气健脾，祛湿理气)]]"
"<div style=""text-align: center; font-size: 24px;""><b>完带汤</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[完带汤中用白术]],[[山药人参白芍促]]。<br>[[苍术车前黑芥穗]],[[陈皮甘草与柴胡]]。<br>[[补脾疏肝止带湿]],[[脾虚肝郁湿带除]]<br>###组成::[[白术、山药、人参、白芍、苍术、车前子、甘草、陈皮、黑芥穗、柴胡]]<br>###主治::[[脾虚肝郁，湿浊下注之带下]]证。带下色白，清稀无臭，肢体倦怠，大便溏薄，舌淡苔白，脉缓或濡弱<br>###功用::[[补脾疏肝，化湿止带]]","方歌::[[完带汤中用白术]],[[山药人参白芍促]]。<br>[[苍术车前黑芥穗]],[[陈皮甘草与柴胡]]。<br>[[补脾疏肝止带湿]],[[脾虚肝郁湿带除]]<br>###组成::[[白术、山药、人参、白芍、苍术、车前子、甘草、陈皮、黑芥穗、柴胡]]<br>###主治::[[脾虚肝郁，湿浊下注之带下]]证。带下色白，清稀无臭，肢体倦怠，大便溏薄，舌淡苔白，脉缓或濡弱<br>###功用::[[补脾疏肝，化湿止带]]"
"<div style=""text-align: center; font-size: 24px;""><b>补中益气汤</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[补中益气芪术陈]],[[升柴参草当归身]]。<br>[[升阳举陷功独擅]],[[气虚发热亦堪珍]]<br>###组成::[[黄芪、人参、白术、炙甘草、陈皮、当归身、升麻、柴胡]]<br>###主治::1.[[脾气虚弱]]证。饮食减少，体倦肢软，少气懒言，面色跳白或萎黄，大便稀溏，脉虚软。<br>2.[[气虚发热]]证。身热，自汗，渴喜热饮，气短乏力，舌嫩红，脉大无力<br>3.[[中气下陷]]证。脱肛，子宫脱垂，久泻久痢，崩漏等，伴气短乏力，纳差便溏，舌淡，脉虚软<br>###功用::[[补中益气，升阳举陷]]","方歌::[[补中益气芪术陈]],[[升柴参草当归身]]。<br>[[升阳举陷功独擅]],[[气虚发热亦堪珍]]<br>###组成::[[黄芪、人参、白术、炙甘草、陈皮、当归身、升麻、柴胡]]<br>###主治::1.[[脾气虚弱]]证。饮食减少，体倦肢软，少气懒言，面色跳白或萎黄，大便稀溏，脉虚软。<br>2.[[气虚发热]]证。身热，自汗，渴喜热饮，气短乏力，舌嫩红，脉大无力<br>3.[[中气下陷]]证。脱肛，子宫脱垂，久泻久痢，崩漏等，伴气短乏力，纳差便溏，舌淡，脉虚软<br>###功用::[[补中益气，升阳举陷]]"
"<div style=""text-align: center; font-size: 24px;""><b>玉屏风散</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[玉屏风散最有灵]],[[芪术防风鼎足形]]。<br>[[表虚汗多易感冒]],[[益气固表止汗行]]<br>###组成::[[炙黄芪、白术、防风、大枣]]<br>###主治::[[表虚自汗]]。汗出恶风，面色跳白，易感风邪，舌淡苔薄白，脉浮虚。亦治虚人膝理不固，易于感冒<br>###功用::[[益气固表止汗]]","方歌::[[玉屏风散最有灵]],[[芪术防风鼎足形]]。<br>[[表虚汗多易感冒]],[[益气固表止汗行]]<br>###组成::[[炙黄芪、白术、防风、大枣]]<br>###主治::[[表虚自汗]]。汗出恶风，面色跳白，易感风邪，舌淡苔薄白，脉浮虚。亦治虚人膝理不固，易于感冒<br>###功用::[[益气固表止汗]]"
"<div style=""text-align: center; font-size: 24px;""><b>生脉散</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[生脉麦味与人参]],[[益气养阴敛汗神]]。<br>[[气少汗多兼口渴]],[[气阴两伤急煎斟]]<br>###组成::[[人参、麦冬、五味子]]<br>###主治::1.[[温热、暑热伤气耗阴]]。汗多神疲，肢体倦怠(乏力)，气短声低，懒言，咽干口渴。舌干红少苔，脉虚数<br>2.[[久咳肺虚，气阴两虚]]。干咳少痰，短气自汗，口干舌燥，脉虚细<br>###功用::[[益气生津，敛阴止汗(益气养阴，敛汗生脉)]]","方歌::[[生脉麦味与人参]],[[益气养阴敛汗神]]。<br>[[气少汗多兼口渴]],[[气阴两伤急煎斟]]<br>###组成::[[人参、麦冬、五味子]]<br>###主治::1.[[温热、暑热伤气耗阴]]。汗多神疲，肢体倦怠(乏力)，气短声低，懒言，咽干口渴。舌干红少苔，脉虚数<br>2.[[久咳肺虚，气阴两虚]]。干咳少痰，短气自汗，口干舌燥，脉虚细<br>###功用::[[益气生津，敛阴止汗(益气养阴，敛汗生脉)]]"
"<div style=""text-align: center; font-size: 24px;""><b>人参蛤蚧散</b></div>",方剂学::各方剂合集::补益剂::补气剂,2,"方歌::[[人参蛤蚧作散服]],[[杏苓桑皮草二母]]。<br>[[肺肾气虚蕴痰热]],[[咳喘痰血一并除]]<br>###组成::[[「蛤蚧」、「人参」、茯苓、炙甘草、桑白皮、杏仁、知母、贝母]]<br>###主治::肺肾气虚，痰热内蕴之[[咳喘]]证。咳嗽气喘，呼多吸少，声音低怯，痰稠色黄，或咳吐脓血，胸中烦热，身体羸瘦，或遍身浮肿，脉浮虚<br>###功用::[[补肺益肾，止咳定喘]]","方歌::[[人参蛤蚧作散服]],[[杏苓桑皮草二母]]。<br>[[肺肾气虚蕴痰热]],[[咳喘痰血一并除]]<br>###组成::[[「蛤蚧」、「人参」、茯苓、炙甘草、桑白皮、杏仁、知母、贝母]]<br>###主治::肺肾气虚，痰热内蕴之[[咳喘]]证。咳嗽气喘，呼多吸少，声音低怯，痰稠色黄，或咳吐脓血，胸中烦热，身体羸瘦，或遍身浮肿，脉浮虚<br>###功用::[[补肺益肾，止咳定喘]]"
